200	6
0	0	0
177	43	24
225	66	23
255	58	69
219	60	67
186	54	72
108	38	72
287	114	58
227	88	42
258	58	23
209	46	61
154	36	62
332	82	24
131	43	57
219	66	68
299	71	32
240	85	51
212	82	21
131	33	47
108	33	31
264	95	25
157	55	25
217	77	47
338	133	70
130	46	42
147	52	60
197	53	24
326	97	39
227	78	46
106	23	28
197	52	31
330	71	60
115	36	42
189	47	39
250	69	27
253	64	46
143	41	68
174	48	25
260	63	52
162	47	69
108	22	31
305	106	72
194	44	28
209	62	22
313	111	64
332	128	65
343	78	40
199	70	70
128	31	63
196	59	33
232	74	21
241	69	59
109	30	22
179	54	59
326	100	52
302	63	47
135	52	26
334	113	51
199	40	59
294	68	49
218	59	67
271	105	35
316	108	46
236	83	45
143	55	47
268	102	73
193	74	33
179	69	62
144	37	29
164	45	72
119	24	62
160	35	38
136	44	49
325	107	58
175	59	52
286	91	31
316	98	73
170	42	28
139	33	31
151	54	66
278	72	52
251	90	23
134	46	53
313	77	40
281	110	32
219	63	32
332	129	55
215	76	74
115	33	44
241	87	39
229	70	54
186	72	23
330	75	23
117	42	44
278	63	72
254	94	63
244	89	72
313	63	30
332	80	33
120	42	51
111	40	56
190	44	59
279	64	58
189	60	57
313	77	33
240	58	30
129	26	27
158	54	25
301	101	67
250	91	55
331	104	32
199	65	30
259	74	25
322	88	47
332	114	69
322	124	55
299	83	53
118	43	31
184	50	40
179	49	57
287	94	40
311	123	35
133	52	25
128	45	45
325	77	25
252	83	22
203	73	51
318	69	49
136	30	67
291	86	44
259	56	30
278	99	46
314	110	64
333	86	42
114	38	56
156	35	37
204	47	54
278	73	35
221	62	72
252	87	52
239	51	21
196	64	42
189	64	61
108	39	22
273	78	31
254	78	60
213	42	36
147	41	56
223	71	62
313	125	31
126	31	45
255	71	50
119	31	20
325	103	48
124	47	32
249	77	46
279	86	69
323	73	41
122	34	57
188	47	69
238	87	32
140	50	74
226	68	32
153	59	44
259	58	54
161	33	38
205	72	38
266	85	63
218	59	26
135	42	62
277	74	32
266	86	64
113	30	26
268	78	51
185	57	20
154	31	28
214	69	55
317	117	29
306	75	37
198	54	54
154	54	65
167	49	21
265	58	26
309	104	74
193	42	63
180	46	43
343	107	30
250	80	54
153	34	65
159	33	47
118	45	20
288	95	57
302	106	49
245	52	27
150	46	55
303	121	33
151	43	48
272	75	35
108	41	22
326	121	46
1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
