200	8
0	0	0
276	66	41
227	54	32
131	33	63
147	38	29
340	84	70
329	81	73
208	69	67
162	43	42
186	54	50
167	52	58
175	40	64
276	101	21
294	65	31
313	94	51
204	42	27
162	44	49
140	45	58
344	81	29
250	66	56
207	68	57
334	67	60
181	47	29
245	91	40
286	97	43
138	33	61
193	75	41
154	55	70
117	40	45
262	54	49
177	52	63
109	22	20
225	70	70
265	55	56
181	61	69
310	89	26
197	66	72
145	39	62
147	57	40
197	55	70
244	96	35
334	88	40
233	92	59
163	54	60
130	33	37
113	25	32
309	75	53
163	44	44
210	53	23
286	86	74
321	99	58
252	54	57
164	54	44
289	111	35
334	67	50
302	86	74
189	50	67
204	47	64
218	59	52
190	51	37
181	62	67
220	69	53
271	92	61
182	59	42
273	88	49
109	23	49
227	82	25
287	75	55
131	46	64
122	24	49
284	59	72
187	44	54
135	43	42
244	76	28
132	29	49
312	76	57
310	110	53
137	54	27
287	65	21
191	39	41
341	76	35
131	27	23
248	75	53
206	77	21
214	51	71
245	58	42
162	41	28
187	41	36
251	62	58
175	59	29
286	73	33
130	49	33
294	62	40
164	40	25
185	48	34
249	67	60
220	52	30
304	88	71
248	71	29
138	50	60
196	68	54
164	61	43
123	29	52
277	80	20
321	98	37
206	67	39
215	61	70
240	51	61
315	114	62
333	77	33
260	84	24
290	85	48
213	81	71
161	38	23
235	83	51
245	94	24
137	52	49
258	56	25
136	31	46
141	33	72
260	54	52
225	47	58
285	96	31
109	33	63
249	50	30
128	42	43
193	55	67
228	54	74
123	31	63
186	61	25
309	109	71
311	110	47
140	30	54
311	108	38
153	34	58
261	104	63
234	77	28
121	42	34
223	88	33
145	37	59
242	95	58
153	40	57
168	46	29
237	59	42
109	38	21
322	108	29
227	80	22
272	82	24
204	44	34
219	60	55
196	75	69
293	92	33
310	98	61
116	32	32
166	58	62
184	67	66
163	44	46
200	48	20
188	71	39
256	74	26
256	93	50
115	43	28
134	37	30
188	63	53
162	47	43
289	82	52
134	48	33
323	74	60
293	78	50
239	92	20
130	49	24
231	69	69
325	118	67
235	55	44
225	78	57
294	69	69
208	52	34
282	91	58
340	127	35
322	110	70
297	73	28
151	36	46
205	54	47
219	56	27
184	46	25
220	54	57
287	62	40
254	81	46
141	50	38
256	66	29
278	98	42
123	29	27
217	84	58
310	93	55
130	48	73
333	87	57
277	74	52
225	74	49
303	84	38
274	92	66
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
